productname,ratingcount,topreviews,rating_count,avg_rating,sentiment_score,final_score
Ernie Ball Regular Slinky Nickel Wound Electric Guitar Strings - 10-46 Gauge,"117,595 ratings","[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",117595,4.875,0.9805932268500328,0.986415258795023
"D'Addario XL Nickel Electric Guitar Strings - EXL110-3D - Perfect Intonation, Consistent Feel, Reliable Durability - For 6 String Guitars - 10-46 Regular Light, 3-Pack, Packaging May Vary","41,737 ratings","[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",41737,4.875,0.9805932268500328,0.7928917246311554
Jim Dunlop PVP102 Variety Medium/Heavy Guitar Pick Player Pack (Pack of 12),"32,025 ratings","[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",32025,4.875,0.9805932268500328,0.7681151610017495
"Fender A-Frame Electric Guitar Stand, Universal for all Electric and Bass Guitars, Black","4,488 ratings","[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}]",4488,4.375,0.979502446949482,0.6971011792535144
"Pure Tone Full-contact Output Jack for Guitar/Bass, with Mounting Hardware","3,004 ratings","[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",3004,4.875,0.9805932268500328,0.694078849934102
"Fender Mini '65, Twin Guitar Amp, 1W Mini Amplifier Suitable For Electric Guitars, 9V","4,388 ratings","[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '3.0 out of 5 stars', 'rating': '3.0 out of 5 stars'}, {'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '2.0 out of 5 stars', 'rating': '2.0 out of 5 stars'}]",4388,3.75,0.971919521689415,0.6915380186840149
"Musiclily Metal Guitar Neck Plate for Fender Stratocaster Telecaster Electric Guitar or Bass,Black",979 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}]",979,4.375,0.979502446949482,0.6881492680327992
"Squier by Fender Affinity Series Telecaster, Electric Guitar, Indian Laurel fingerboard, Olympic & KEPLIN Guitar Stand A Frame Foldable Universal Fits All Guitars Acoustic Electric Bass Stand A",390 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}]",390,4.75,0.9804461449384689,0.6873072417179937
"Ibanez GRG121DX GIO Range - Electric Guitar - Walnut Flat & Fender Frontman 10G Guitar Combo Amp - The Ideal Practice Amp, suitable for Electric Guitar.",334 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",334,4.875,0.9805932268500328,0.6872673358391149
"Musiclily Metric 6mm Metal Guitar Dome Knobs Volume Tone Control Knobs for Fender Telecaster Electric Guitar Precision P-Bass,Gold (4 Pieces)",607 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '3.0 out of 5 stars', 'rating': '3.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",607,4.625,0.9793735817074776,0.6871100424220721
"Fender CD-60SCE Dreadnought Electro Acoustic Guitar, Black & KEPLIN Guitar Stand A Frame Foldable Universal Fits All Guitars Acoustic Electric Bass Stand A (Guitar Stand)",509 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '3.0 out of 5 stars', 'rating': '3.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",509,4.625,0.9793735817074776,0.6868600317923684
"Fender Roasted Maple Stratocaster Neck, 21 Narrow Tall Frets, 9.5"", Maple, C Shape",105 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",105,5.0,0.9807403087615967,0.686786084664943
The Best Guitar Book for Beginners: Electric Guitar 1: How to Play Your Favorite Songs and Guitar Solos Right Now,76 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",76,5.0,0.9807403087615967,0.6867121019275816
"Fender Sonoran Mini Acoustic Guitar, Natural, includes a Guitar Gig Bag & FT-1 Pro Clip-On Tuner, For Electric, Acoustic & Bass Guitars & Ukuleles, Black",138 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}]",138,4.75,0.9804461449384689,0.6866643572416129
"Donner Solid Body Electric Guitar, 39 Inch Metal Electric Guitar Beginner Kits with Bag, Strings, Strap, Cable, Strings Dampener for Rock Music Lover, DMT-100 (Gradient Violet)",51 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",51,5.0,0.9807403087615967,0.6866483237057185
Fender American Series Stratocaster® Tremolo Arm Tension Springs,363 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",363,4.375,0.979502446949482,0.6865777726460907
"Fender Classic Core Electric Guitar Strings, 3155L, Vintage Nickel, Bullet Ends (.009-.042)",312 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}]",312,4.5,0.9796495288610458,0.6865506224115845
"Guitar Book for Adult Beginners: The 7-Day Guitar Kickstart. Step-by-Step Guide and Video Lessons to Learn Guitar with Ease | Chords, Strumming, and Songs",2 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",2,5.0,0.9807403087615967,0.6865233183908667
"Fender Squier Debut Stratocaster Electric Guitar Kit for Beginners, includes Amplifier, Cable, Strap, and Tuner, Dakota Red",2 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",2,5.0,0.9807403087615967,0.6865233183908667
"Fender Electric XII Strings for 12 string Electric Guitar, Nickel Plated Steel, 10-46",120 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}]",120,3.6,0.9782890677452087,0.6851084828865893
How To Play Electric Guitar: Your Step-By-Step Guide To Playing Electric Guitar,13 ratings,"[{'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}]",13,1.0,0.9720140695571899,0.6804430133654018
"Musiclily Pro UNC#6-32X3/8 Inch Stainless Steel Saddle Height Adjustment Screws for Fender Tele Style Electric Guitar Bridge, Original Color (Set of 10)",2 ratings,"[{'title': '3.0 out of 5 stars', 'rating': '3.0 out of 5 stars'}]",2,3.0,0.9709831476211548,0.6796933055925574
"Playwell Multi Effects Guitar Pedal TANK-G,Digital Electric Guitar Effector with 36 Editable Presets,Chorus,Delay,Reverb,MOD,IR Loading,Recording,Tuner,Built-in battery,BT connection",193 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '2.0 out of 5 stars', 'rating': '2.0 out of 5 stars'}, {'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}, {'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}]",193,3.0,0.9691510796546936,0.6788981236310692
"The Missing Method for Guitar, Book 1: Note Reading in the Open Position (Frets 1-4) (The Missing Method for Guitar Note Reading Series)",75 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '3.0 out of 5 stars', 'rating': '3.0 out of 5 stars'}, {'title': '2.0 out of 5 stars', 'rating': '2.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",75,3.8,0.9683722972869873,0.6780519427664805
The Bach Cello Suites for Guitar: In Standard Notation and Tablature: 1 (Bach for Guitar),123 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}, {'title': '2.0 out of 5 stars', 'rating': '2.0 out of 5 stars'}, {'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}]",123,2.8,0.9670685648918151,0.6772617842758374
"Wilkinson WOV03 54mm(2-1/8 inch) Vintage Tremolo Bridge 6-Screw for Squier/Mexico Fender/MIJ Strat Electric Guitar, Chrome",36 ratings,[],36,0.0,0.0,9.18406394829712e-05
3 Sets - Fender Super Bullets Nickel Steel 10-46 Regular Electric Guitar Strings,34 ratings,[],34,0.0,0.0,8.673838173391726e-05
Fender 099 – 0806 – 200 3 Saddle American Vintage Telecaster Bridge Assembly with Chromed Brass Saddles (Gold),32 ratings,[],32,0.0,0.0,8.16361239848633e-05
Electric Guitar Body for Fender Strat Guitar Accessory DIY Poplar Wood HSH Guitar Body Black Glossy,24 ratings,[],24,0.0,0.0,6.122709298864748e-05
"Squier by Fender Sonic Stratocaster Electric Guitar Pack, Maple Fingerboard in Black, Gig Bag & FT-1 Pro Clip-On Tuner, For Electric, Acoustic & Bass Guitars & Ukuleles, Black",18 ratings,[],18,0.0,0.0,4.59203197414856e-05
JD.Moon Electric Guitar Body for Fender ST Strat Guitar Accessory DIY Metal Blue Poplar HSH Guitar Body,15 ratings,[],15,0.0,0.0,3.826693311790467e-05
"Squier by Fender Sonic Stratocaster Electric Guitar Pack, Maple Fingerboard& FT-1 Pro Clip-On Tuner, For Electric, Acoustic & Bass Guitars & Ukuleles, Black",13 ratings,[],13,0.0,0.0,3.316467536885071e-05
Fender 005-5318-049 American Deluxe Stratocaster '86-Present Left-Hand Electric Guitar Bridge,10 ratings,[],10,0.0,0.0,2.551128874526978e-05
Plan of Fender Telecaster Deluxe Electric Guitar - Full Scale Print,4 ratings,[],4,0.0,0.0,1.0204515498107912e-05
"Musiclily Pro Inch Size Guitar 3-Way Barrel Switch Tips Pickup Selector Lever Switch Knobs for Fender Tele Style Electric Guitar, Black (Set of 2)",4 ratings,[],4,0.0,0.0,1.0204515498107912e-05
"Fender Mustang Micro Amplifier - The Ultimate All-In-One Personal Headphone Amplifier & FT-1 Pro Clip-On Tuner, For Electric, Acoustic & Bass Guitars & Ukuleles, Black",2 ratings,[],2,0.0,0.0,5.102257749053956e-06
Plan of Fender Telecaster Thinline Electric Guitar - Full Scale Print,2 ratings,[],2,0.0,0.0,5.102257749053956e-06
"Fender Frontman 20G Combo Guitar Amp, 20W, Black & KEPLIN A Frame Foldable Universal Guitar Stand (Electric & Acoustic)",1 rating,[],1,0.0,0.0,2.551128874526978e-06
"Squier (by Fender) Affinity Stratocaster HSS Electric Guitar Pack in Charcoal Frost Metallic. & soundcore by Anker Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound",1 rating,[],1,0.0,0.0,2.551128874526978e-06
"Fender Squier Debut Series Stratocaster Electric Guitar, Beginner Guitar, with 2-Year Warranty & Professional Series Instrument Guitar Cable, 10 ft, Straight/Angle, Black, 3m",0,[],0,0.0,0.0,0.0
"Fender CD-60 Dreadnought V3 DS Acoustic Guitar, Walnut Fingerboard, Sunburst & KEPLIN Guitar Stand A Frame Foldable Universal Fits All Guitars Acoustic Electric Bass Stand A (Guitar Stand)",0,[],0,0.0,0.0,0.0
Country Guitar Book: 55 Easy Songs for Guitar Players,0,[],0,0.0,0.0,0.0
"Electric Guitar Book For Beginners: 55 Easy Guitar Tab Songs – Rock, Classic Hits & Timeless Anthems",0,[],0,0.0,0.0,0.0
Guitar Song Books Acoustic: 60 Greatest Acoustic Guitar Hits,0,[],0,0.0,0.0,0.0
"Fender CD-60 Dreadnought V3 DS Acoustic Guitar, Walnut Fingerboard, Black & KEPLIN Guitar Stand A Frame Foldable Universal Fits All Guitars Acoustic Electric Bass Stand A (Guitar Stand)",0,[],0,0.0,0.0,0.0
"Fender CD-60SCE Dreadnought Electro Acoustic Guitar, Black & 2"" Black Polyester Guitar Strap With Red Logo",0,[],0,0.0,0.0,0.0
"Fender Professional Series Instrument Guitar Cable, 10 ft, Straight/Angle, Black, 3m & FT-1 Pro Clip-On Tuner, For Electric, Acoustic & Bass Guitars & Ukuleles, Black",0,[],0,0.0,0.0,0.0
Easy Guitar Chords Guide for Novice Musicians: Master the Fundamental Chords and Kickstart Your Musical Journey with Confidence,0,[],0,0.0,0.0,0.0
Master Your Guitar Skills with a Proven Guide.: Unlock Your Inner Guitar Virtuoso with this Step-by-Step Guide to Mastery.,0,[],0,0.0,0.0,0.0
Proven Guide to Mastering Guitar Skills.: Unlock Your Potential: The Must-Have Guide to Becoming a Guitar Virtuoso.,0,[],0,0.0,0.0,0.0
"Fender CD-60 Dreadnought V3 DS Acoustic Guitar, Walnut Fingerboard, Sunburst & FT-1 Pro Clip-On Tuner, For Electric, Acoustic & Bass Guitars & Ukuleles, Black",0,[],0,0.0,0.0,0.0
"Fender Rumble 15, Bass Amp - 15W, Compact Practice Amp for Electric Bass Guitar",0,[],0,0.0,0.0,0.0
Master the Art of Guitar for Beginners: Unlock Your Inner Musician: A Step-by-Step Guide to Mastering the Guitar and Igniting Your Musical Journey,0,[],0,0.0,0.0,0.0
"Fender CD-60 Dreadnought V3 DS Acoustic Guitar, Walnut Fingerboard, Black & FT-1 Pro Clip-On Tuner, For Electric, Acoustic & Bass Guitars & Ukuleles, Black",0,[],0,0.0,0.0,0.0
"Fender Rumble 15-15W Electric Bass Guitar Combo Amplifier - Suitable for Electric Bass Guitar & 990820025 Professional Series Instrument Cable - 10 ft - STR/ANG - black, 3 metre",0,[],0,0.0,0.0,0.0
Fender American Ultra II EB Ultraburst - Electric Guitar,0,[],0,0.0,0.0,0.0
"Fender Frontman 10G Combo Amp, 10W Small Practice Amplifier for Electric Guitar, Black & KEPLIN A Frame Foldable Universal Stand for All Guitars, Acoustic, Electric, Bass",0,[],0,0.0,0.0,0.0
Luthier Supplies Plan of Fender Jaguar Electric Guitar - Full Scale Print,0,[],0,0.0,0.0,0.0
Fender Deluxe Series 2-Point Tremolo Assembly - Guitar Part,0,[],0,0.0,0.0,0.0
"Squier by Fender Classic Vibe 50s Telecaster, Electric Guitar, Maple Fingerboard & KEPLIN Guitar Stand A Frame Foldable Universal Fits All Guitars Acoustic Electric Bass Stand A",0,[],0,0.0,0.0,0.0
